"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,0,-0.0084384,0.048
nan,nan,nan,nan,0,1.6439e-05,0,-0.008422,0.048
nan,nan,nan,nan,0,3.2878e-05,0,-0.0084055,0.048
nan,nan,nan,nan,0,4.9315e-05,0,-0.0083891,0.048
nan,nan,nan,nan,0,6.5754e-05,0,-0.0083726,0.048
nan,nan,nan,nan,0,8.2192e-05,0,-0.0083562,0.048
nan,nan,nan,nan,0,9.8631e-05,0,-0.0083398,0.048
nan,nan,nan,nan,0,0.00011507,0,-0.0083233,0.048
nan,nan,nan,nan,0,0.00013151,0,-0.0083069,0.048
nan,nan,nan,nan,0,0.00014795,0,-0.0082904,0.048
nan,nan,nan,nan,0,0.00016438,0,-0.008274,0.048
nan,nan,nan,nan,0,0.00018082,0,-0.0082576,0.048
nan,nan,nan,nan,0,0.00019726,0,-0.0082411,0.048
nan,nan,nan,nan,0,0.0002137,0,-0.0082247,0.048
nan,nan,nan,nan,0,0.00023014,0,-0.0082083,0.048
nan,nan,nan,nan,0,0.00024658,0,-0.0081918,0.048
nan,nan,nan,nan,0,0.00026301,0,-0.0081754,0.048
nan,nan,nan,nan,0,0.00027945,0,-0.0081589,0.048
nan,nan,nan,nan,0,0.00029589,0,-0.0081425,0.048
nan,nan,nan,nan,0,0.00031233,0,-0.0081261,0.048
nan,nan,nan,nan,0,0.00032877,0,-0.0081096,0.048
nan,nan,nan,nan,0,0.00034521,0,-0.0080932,0.048
nan,nan,nan,nan,0,0.00036164,0,-0.0080767,0.048
nan,nan,nan,nan,0,0.00037808,0,-0.0080603,0.048
nan,nan,nan,nan,0,0.00039452,0,-0.0080439,0.048
nan,nan,nan,nan,0,0.00041096,0,-0.0080274,0.048
nan,nan,nan,nan,0,0.0004274,0,-0.008011,0.048
0.12029,1.6225e-10,1.2985e-06,-6.4581e-06,1,0.00044384,0,-0.0079946,0.048
0.12029,6.5205e-10,5.2185e-06,-2.5954e-05,1,0.00046028,0,-0.0079781,0.048
0.12029,1.1418e-09,9.1382e-06,-4.5449e-05,1,0.00047671,0,-0.0079617,0.048
0.12029,1.6316e-09,1.3058e-05,-6.4944e-05,1,0.00049315,0,-0.0079452,0.048
0.12029,2.1214e-09,1.6978e-05,-8.444e-05,1,0.00050959,0,-0.0079288,0.048
0.12029,2.6112e-09,2.0898e-05,-0.00010393,1,0.00052603,0,-0.0079124,0.048
0.12029,3.101e-09,2.4818e-05,-0.00012343,1,0.00054247,0,-0.0078959,0.048
0.12029,3.5908e-09,2.8738e-05,-0.00014293,1,0.00055891,0,-0.0078795,0.048
0.12029,4.0806e-09,3.2657e-05,-0.00016242,1,0.00057534,0,-0.007863,0.048
