"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.55014,0,0,0.52165,1,0,0,0,0
0.54995,-1.2412e-20,-2.3852e-20,0.52208,1,3.4485e-05,0,0,3.4485e-05
0.54976,-2.4824e-20,-4.7705e-20,0.52251,1,6.897e-05,0,0,6.897e-05
0.54957,-3.7236e-20,-7.1557e-20,0.52294,1,0.00010346,0,0,0.00010346
0.54938,-4.9648e-20,-9.541e-20,0.52337,1,0.00013794,0,0,0.00013794
0.54918,-6.206e-20,-1.1926e-19,0.52381,1,0.00017243,0,0,0.00017243
0.54899,-7.4472e-20,-1.4311e-19,0.52424,1,0.00020691,0,0,0.00020691
0.5488,-8.6884e-20,-1.6697e-19,0.52467,1,0.0002414,0,0,0.0002414
0.54861,-9.9296e-20,-1.9082e-19,0.5251,1,0.00027588,0,0,0.00027588
0.54842,-1.1171e-19,-2.1467e-19,0.52553,1,0.00031037,0,0,0.00031037
0.54787,-4.2721e-20,-1.6805e-19,0.52663,1,0.00034485,0,0,0.00034485
0.54729,3.4407e-20,-1.1438e-19,0.5278,1,0.00037934,0,0,0.00037934
0.54671,1.1153e-19,-6.0715e-20,0.52897,1,0.00041382,0,0,0.00041382
0.54613,1.8866e-19,-7.0473e-21,0.53014,1,0.00044831,0,0,0.00044831
0.54555,2.6579e-19,4.6621e-20,0.53131,1,0.00048279,0,0,0.00048279
0.54497,3.4292e-19,1.0029e-19,0.53248,1,0.00051728,0,0,0.00051728
0.5444,4.2004e-19,1.5396e-19,0.53364,1,0.00055176,0,0,0.00055176
0.54382,4.9717e-19,2.0762e-19,0.53481,1,0.00058625,0,0,0.00058625
0.54324,5.743e-19,2.6129e-19,0.53598,1,0.00062073,0,0,0.00062073
0.54238,4.8569e-19,2.8569e-19,0.53764,1,0.00065522,0,0,0.00065522
0.54146,3.6025e-19,3.0358e-19,0.53941,1,0.0006897,0,0,0.0006897
0.54054,2.348e-19,3.2147e-19,0.54117,1,0.00072419,0,0,0.00072419
0.53962,1.0936e-19,3.3936e-19,0.54294,1,0.00075867,0,0,0.00075867
0.5387,-1.608e-20,3.5724e-19,0.54471,1,0.00079316,0,0,0.00079316
0.53778,-1.4152e-19,3.7513e-19,0.54647,1,0.00082764,0,0,0.00082764
0.53686,-2.6696e-19,3.9302e-19,0.54824,1,0.00086213,0,0,0.00086213
0.53594,-3.9241e-19,4.1091e-19,0.55001,1,0.00089661,0,0,0.00089661
0.53503,-5.1785e-19,4.288e-19,0.55178,1,0.0009311,0,0,0.0009311
0.53396,-4.5236e-19,3.1659e-19,0.55375,1,0.00096558,0,0,0.00096558
0.53285,-3.1528e-19,1.5558e-19,0.55581,1,0.0010001,0,0,0.0010001
0.53173,-1.782e-19,-5.4211e-21,0.55787,1,0.0010346,0,0,0.0010346
0.53062,-4.1114e-20,-1.6643e-19,0.55993,1,0.001069,0,0,0.001069
0.5295,9.5969e-20,-3.2743e-19,0.56199,1,0.0011035,0,0,0.0011035
0.52838,2.3305e-19,-4.8843e-19,0.56405,1,0.001138,0,0,0.001138
0.52727,3.7014e-19,-6.4944e-19,0.56611,1,0.0011725,0,0,0.0011725
0.52615,5.0722e-19,-8.1044e-19,0.56817,1,0.001207,0,0,0.001207
0.52504,6.443e-19,-9.7145e-19,0.57023,1,0.0012415,0,0,0.0012415
0.52389,5.8411e-19,-9.0477e-19,0.57231,1,0.0012759,0,0,0.0012759
0.52272,4.1119e-19,-7.0798e-19,0.5744,1,0.0013104,0,0,0.0013104
0.52155,2.3827e-19,-5.112e-19,0.57648,1,0.0013449,0,0,0.0013449
0.52038,6.5344e-20,-3.1442e-19,0.57857,1,0.0013794,0,0,0.0013794
0.51921,-1.0758e-19,-1.1764e-19,0.58066,1,0.0014139,0,0,0.0014139
0.51804,-2.805e-19,7.9147e-20,0.58274,1,0.0014484,0,0,0.0014484
0.51687,-4.5342e-19,2.7593e-19,0.58483,1,0.0014829,0,0,0.0014829
