"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,0,-0.004,0.034485
nan,nan,nan,nan,0,8.0001e-06,0,-0.003992,0.034485
nan,nan,nan,nan,0,1.6e-05,0,-0.003984,0.034485
nan,nan,nan,nan,0,2.4e-05,0,-0.003976,0.034485
nan,nan,nan,nan,0,3.2e-05,0,-0.003968,0.034485
nan,nan,nan,nan,0,4e-05,0,-0.00396,0.034485
nan,nan,nan,nan,0,4.8e-05,0,-0.003952,0.034485
nan,nan,nan,nan,0,5.6e-05,0,-0.003944,0.034485
nan,nan,nan,nan,0,6.4e-05,0,-0.003936,0.034485
nan,nan,nan,nan,0,7.2e-05,0,-0.003928,0.034485
nan,nan,nan,nan,0,8e-05,0,-0.00392,0.034485
nan,nan,nan,nan,0,8.8e-05,0,-0.003912,0.034485
nan,nan,nan,nan,0,9.6e-05,0,-0.003904,0.034485
nan,nan,nan,nan,0,0.000104,0,-0.003896,0.034485
nan,nan,nan,nan,0,0.000112,0,-0.003888,0.034485
nan,nan,nan,nan,0,0.00012,0,-0.00388,0.034485
nan,nan,nan,nan,0,0.000128,0,-0.003872,0.034485
nan,nan,nan,nan,0,0.000136,0,-0.003864,0.034485
nan,nan,nan,nan,0,0.000144,0,-0.003856,0.034485
nan,nan,nan,nan,0,0.000152,0,-0.003848,0.034485
nan,nan,nan,nan,0,0.00016,0,-0.00384,0.034485
nan,nan,nan,nan,0,0.000168,0,-0.003832,0.034485
nan,nan,nan,nan,0,0.000176,0,-0.003824,0.034485
nan,nan,nan,nan,0,0.000184,0,-0.003816,0.034485
nan,nan,nan,nan,0,0.000192,0,-0.003808,0.034485
nan,nan,nan,nan,0,0.0002,0,-0.0038,0.034485
nan,nan,nan,nan,0,0.000208,0,-0.003792,0.034485
nan,nan,nan,nan,0,0.000216,0,-0.003784,0.034485
nan,nan,nan,nan,0,0.000224,0,-0.003776,0.034485
nan,nan,nan,nan,0,0.000232,0,-0.003768,0.034485
nan,nan,nan,nan,0,0.00024,0,-0.00376,0.034485
nan,nan,nan,nan,0,0.000248,0,-0.003752,0.034485
nan,nan,nan,nan,0,0.000256,0,-0.003744,0.034485
nan,nan,nan,nan,0,0.000264,0,-0.003736,0.034485
nan,nan,nan,nan,0,0.000272,0,-0.003728,0.034485
