Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,-0.0022613599,0.0000000000,0.0500000007,0.0119365593
1.0000000000,-0.0022568328,0.0000000000,0.0500000007,0.0158377234
2.0000000000,-0.0022523056,0.0000000000,0.0500000007,0.0197387878
3.0000000000,-0.0022477785,0.0000000000,0.0500000007,0.0236399397
4.0000000000,-0.0022432513,0.0000000000,0.0500000007,0.0275411680
5.0000000000,-0.0022387241,0.0000000000,0.0500000007,0.0314423069
6.0000000000,-0.0022341970,0.0000000000,0.0500000007,0.0353434533
7.0000000000,-0.0022296698,0.0000000000,0.0500000007,0.0392445624
8.0000000000,-0.0022251427,0.0000000000,0.0500000007,0.0431456976
9.0000000000,-0.0022206155,0.0000000000,0.0500000007,0.0470468514
10.0000000000,-0.0022160884,0.0000000000,0.0500000007,0.0509479642
11.0000000000,-0.0022115612,0.0000000000,0.0500000007,0.0548490919
12.0000000000,-0.0022070340,0.0000000000,0.0500000007,0.0587502569
13.0000000000,-0.0022025069,0.0000000000,0.0500000007,0.0626513734
14.0000000000,-0.0021979797,0.0000000000,0.0500000007,0.0665525123
15.0000000000,-0.0021934526,0.0000000000,0.0500000007,0.0704536662
16.0000000000,-0.0021889254,0.0000000000,0.0500000007,0.0743547753
17.0000000000,-0.0021843982,0.0000000000,0.0500000007,0.0782559142
18.0000000000,-0.0021798711,0.0000000000,0.0500000007,0.0821570158
19.0000000000,-0.0021753439,0.0000000000,0.0500000007,0.0860581994
20.0000000000,-0.0021708168,0.0000000000,0.0500000007,0.0899593309
21.0000000000,-0.0021662896,0.0000000000,0.0500000007,0.0938604549
22.0000000000,-0.0021617624,0.0000000000,0.0500000007,0.0977615565
23.0000000000,-0.0021572353,0.0000000000,0.0500000007,0.1016627029
24.0000000000,-0.0021527081,0.0000000000,0.0500000007,0.1055638716
25.0000000000,-0.0021481810,0.0000000000,0.0500000007,0.1094649956
26.0000000000,-0.0021436538,0.0000000000,0.0500000007,0.1133661494
27.0000000000,-0.0021391266,0.0000000000,0.0500000007,0.1172672510
28.0000000000,-0.0021345995,0.0000000000,0.0500000007,0.1211684123
29.0000000000,-0.0021300723,0.0000000000,0.0500000007,0.1250695586
30.0000000000,-0.0021255452,0.0000000000,0.0500000007,0.1289706975
31.0000000000,-0.0021210180,0.0000000000,0.0500000007,0.1328718215
32.0000000000,-0.0021164909,0.0000000000,0.0500000007,0.1367729455
33.0000000000,-0.0021119637,0.0000000000,0.0500000007,0.1406740993
34.0000000000,-0.0021074365,0.0000000000,0.0500000007,0.1445752233
35.0000000000,-0.0021029094,0.0000000000,0.0500000007,0.1484763622
36.0000000000,-0.0020983822,0.0000000000,0.0500000007,0.1523775011
37.0000000000,-0.0020938551,0.0000000000,0.0500000007,0.1562786400
38.0000000000,-0.0020893279,0.0000000000,0.0500000007,0.1601797640
39.0000000000,-0.0020848007,0.0000000000,0.0500000007,0.1640808880
40.0000000000,-0.0020802736,0.0000000000,0.0500000007,0.1679820269
41.0000000000,-0.0020757464,0.0000000000,0.0500000007,0.1718831807
42.0000000000,-0.0020712193,0.0000000000,0.0500000007,0.1757843047
43.0000000000,-0.0020666921,0.0000000000,0.0500000007,0.1796854436
44.0000000000,-0.0020621649,0.0000000000,0.0500000007,0.1835865676
45.0000000000,-0.0020576378,0.0000000000,0.0500000007,0.1874876916
46.0000000000,-0.0020531106,0.0000000000,0.0500000007,0.1913888305
47.0000000000,-0.0020485835,0.0000000000,0.0500000007,0.1952899844
48.0000000000,-0.0020440563,0.0000000000,0.0500000007,0.1991911382
49.0000000000,-0.0020395292,0.0000000000,0.0500000007,0.2030922622
50.0000000000,-0.0020350020,0.0000000000,0.0500000007,0.2069934011
51.0000000000,-0.0020304748,0.0000000000,0.0500000007,0.2108945251
52.0000000000,-0.0020259477,0.0000000000,0.0500000007,0.2147956640
53.0000000000,-0.0020214205,0.0000000000,0.0500000007,0.2186968029
54.0000000000,-0.0020168934,0.0000000000,0.0500000007,0.2222906053
55.0000000000,-0.0020123662,0.0000000000,0.0500000007,0.2257537246
56.0000000000,-0.0020078390,0.0000000000,0.0500000007,0.2292167395
57.0000000000,-0.0020033119,0.0000000000,0.0500000007,0.2326798439
58.0000000000,-0.0019987847,0.0000000000,0.0500000007,0.2361429483
59.0000000000,-0.0019942576,0.0000000000,0.0500000007,0.2396060526
