"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6333,0,0,0,1,0,0,-0.00227,0.06
1.6333,6.653e-21,1.4767e-07,0.0038132,1,4.54e-06,0,-0.0022655,0.06
1.6333,1.1425e-20,2.9534e-07,0.0076264,1,9.0799e-06,0,-0.0022609,0.06
1.6333,1.4646e-20,4.4302e-07,0.01144,1,1.362e-05,0,-0.0022564,0.06
1.6333,1.6527e-20,5.9069e-07,0.015253,1,1.816e-05,0,-0.0022518,0.06
1.6333,1.7407e-20,7.3837e-07,0.019066,1,2.27e-05,0,-0.0022473,0.06
1.6333,1.7467e-20,8.8604e-07,0.02288,1,2.724e-05,0,-0.0022428,0.06
1.6333,1.6876e-20,1.0337e-06,0.026693,1,3.178e-05,0,-0.0022382,0.06
1.6333,1.5766e-20,1.1814e-06,0.030506,1,3.632e-05,0,-0.0022337,0.06
1.6333,1.4404e-20,1.3291e-06,0.034319,1,4.086e-05,0,-0.0022291,0.06
1.6333,1.2903e-20,1.4767e-06,0.038133,1,4.54e-05,0,-0.0022246,0.06
1.6333,1.1222e-20,1.6244e-06,0.041946,1,4.994e-05,0,-0.0022201,0.06
1.6333,9.6011e-21,1.7721e-06,0.045759,1,5.448e-05,0,-0.0022155,0.06
1.6333,8.06e-21,1.9197e-06,0.049572,1,5.902e-05,0,-0.002211,0.06
1.6333,6.5789e-21,2.0674e-06,0.053386,1,6.356e-05,0,-0.0022064,0.06
1.6333,5.398e-21,2.2151e-06,0.057199,1,6.81e-05,0,-0.0022019,0.06
1.6333,4.1571e-21,2.3628e-06,0.061012,1,7.264e-05,0,-0.0021974,0.06
1.6333,3.2263e-21,2.5104e-06,0.064825,1,7.718e-05,0,-0.0021928,0.06
1.6333,2.5156e-21,2.6581e-06,0.068639,1,8.172e-05,0,-0.0021883,0.06
1.6333,2.0851e-21,2.8058e-06,0.072452,1,8.626e-05,0,-0.0021837,0.06
1.6333,1.5945e-21,2.9535e-06,0.076265,1,9.08e-05,0,-0.0021792,0.06
1.6333,1.4641e-21,3.1011e-06,0.080078,1,9.534e-05,0,-0.0021747,0.06
1.6333,1.3137e-21,3.2488e-06,0.083892,1,9.988e-05,0,-0.0021701,0.06
1.6333,1.1433e-21,3.3965e-06,0.087705,1,0.00010442,0,-0.0021656,0.06
1.6333,1.193e-21,3.5442e-06,0.091518,1,0.00010896,0,-0.002161,0.06
1.6333,1.2427e-21,3.6918e-06,0.095331,1,0.0001135,0,-0.0021565,0.06
1.6333,4.2737e-15,3.8395e-06,0.099145,1,0.00011804,0,-0.002152,0.06
1.6333,7.6332e-16,3.9872e-06,0.10296,1,0.00012258,0,-0.0021474,0.06
1.6333,1.3919e-21,4.1348e-06,0.10677,1,0.00012712,0,-0.0021429,0.06
1.6333,1.4416e-21,4.2825e-06,0.11058,1,0.00013166,0,-0.0021383,0.06
1.6333,1.4913e-21,4.4302e-06,0.1144,1,0.0001362,0,-0.0021338,0.06
1.6333,1.541e-21,4.5779e-06,0.11821,1,0.00014074,0,-0.0021293,0.06
