"p","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.011658,7.481e-17,6.8906e-11,0.10628,8.7604e-17,6.8906e-11,0.10628,1.2907e-27,2.3803e-26,-4.0233e-25,1.2907e-27,2.3803e-26,-4.0233e-25,1,0,0,-0.00227,0.199
0.011658,7.4097e-17,7.1777e-11,0.10809,8.6897e-17,7.1777e-11,0.10809,-2.0153e-15,-3.7166e-14,6.2818e-13,-2.0153e-15,-3.7166e-14,6.2818e-13,1,4.54e-06,0,-0.0022655,0.199
0.011658,7.3385e-17,7.4648e-11,0.1099,8.6191e-17,7.4648e-11,0.1099,-4.0306e-15,-7.4331e-14,1.2564e-12,-4.0306e-15,-7.4331e-14,1.2564e-12,1,9.0799e-06,0,-0.0022609,0.199
0.011658,7.2673e-17,7.7519e-11,0.11171,8.5484e-17,7.7519e-11,0.11171,-6.0459e-15,-1.115e-13,1.8846e-12,-6.0459e-15,-1.115e-13,1.8846e-12,1,1.362e-05,0,-0.0022564,0.199
0.011658,7.196e-17,8.039e-11,0.11352,8.4778e-17,8.0391e-11,0.11352,-8.0613e-15,-1.4866e-13,2.5128e-12,-8.0613e-15,-1.4866e-13,2.5128e-12,1,1.816e-05,0,-0.0022518,0.199
0.011658,7.1248e-17,8.3261e-11,0.11533,8.4072e-17,8.3262e-11,0.11533,-1.0077e-14,-1.8583e-13,3.1409e-12,-1.0077e-14,-1.8583e-13,3.1409e-12,1,2.27e-05,0,-0.0022473,0.199
0.011658,7.0535e-17,8.6132e-11,0.11714,8.3365e-17,8.6133e-11,0.11714,-1.2092e-14,-2.23e-13,3.7691e-12,-1.2092e-14,-2.23e-13,3.7691e-12,1,2.724e-05,0,-0.0022428,0.199
0.011658,6.9823e-17,8.9003e-11,0.11895,8.2659e-17,8.9004e-11,0.11895,-1.4107e-14,-2.6016e-13,4.3973e-12,-1.4107e-14,-2.6016e-13,4.3973e-12,1,3.178e-05,0,-0.0022382,0.199
0.011658,6.911e-17,9.1875e-11,0.12076,8.1953e-17,9.1875e-11,0.12076,-1.6122e-14,-2.9733e-13,5.0255e-12,-1.6122e-14,-2.9733e-13,5.0255e-12,1,3.632e-05,0,-0.0022337,0.199
0.011658,6.8398e-17,9.4746e-11,0.12257,8.1246e-17,9.4746e-11,0.12257,-1.8138e-14,-3.3449e-13,5.6537e-12,-1.8138e-14,-3.3449e-13,5.6537e-12,1,4.086e-05,0,-0.0022291,0.199
0.011658,6.7685e-17,9.7617e-11,0.12438,8.054e-17,9.7617e-11,0.12438,-2.0153e-14,-3.7166e-13,6.2819e-12,-2.0153e-14,-3.7166e-13,6.2819e-12,1,4.54e-05,0,-0.0022246,0.199
