y,U_0,U_1,U_2
-0.00214875,-5.78645e-11,2.90134e-10,0.106277
-0.00190625,-2.56016e-10,1.60459e-09,0.299647
-0.00177493,-5.89525e-10,4.10285e-09,0.472158
-0.00165368,5.89524e-10,4.10284e-09,0.472158
-0.00142125,9.96508e-10,7.11902e-09,0.627296
-0.00114708,1.50135e-09,1.02943e-08,0.794972
-0.000833088,2.20334e-09,1.12654e-08,0.926643
-0.00050541,2.93587e-09,8.90847e-09,1.01487
-0.000169402,3.40845e-09,3.40845e-09,1.05928
7.98413e-06,3.40844e-09,-3.40845e-09,1.05928
0.000177386,-3.40845e-09,-3.40845e-09,1.05928
0.00050541,-2.93587e-09,-8.90848e-09,1.01487
0.000833088,-2.20334e-09,-1.12654e-08,0.926643
0.00114708,-1.50134e-09,-1.02943e-08,0.794972
0.00142125,-9.96507e-10,-7.11902e-09,0.627296
0.00166375,-5.89525e-10,-4.10285e-09,0.472158
0.00190625,-2.56016e-10,-1.60459e-09,0.299647
0.00214875,-5.78645e-11,-2.90134e-10,0.106277
