"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.058932,-7.0918e-35,-2.2646e-20,-3.232e-16,1,0,0,-0.00227,0.045
0.058932,8.3925e-22,2.7845e-07,0.003974,1,4.54e-06,0,-0.0022655,0.045
0.058932,1.6458e-21,5.5689e-07,0.0079481,1,9.0799e-06,0,-0.0022609,0.045
0.058932,2.4195e-21,8.3534e-07,0.011922,1,1.362e-05,0,-0.0022564,0.045
0.058932,3.1606e-21,1.1138e-06,0.015896,1,1.816e-05,0,-0.0022518,0.045
0.058932,3.9508e-21,1.3922e-06,0.01987,1,2.27e-05,0,-0.0022473,0.045
0.058932,4.6427e-21,1.6707e-06,0.023844,1,2.724e-05,0,-0.0022428,0.045
0.058932,5.4165e-21,1.9491e-06,0.027818,1,3.178e-05,0,-0.0022382,0.045
0.058932,6.0593e-21,2.2276e-06,0.031792,1,3.632e-05,0,-0.0022337,0.045
0.058932,6.8167e-21,2.506e-06,0.035766,1,4.086e-05,0,-0.0022291,0.045
0.058932,7.5741e-21,2.7845e-06,0.039741,1,4.54e-05,0,-0.0022246,0.045
0.058932,8.3316e-21,3.0629e-06,0.043715,1,4.994e-05,0,-0.0022201,0.045
0.058932,9.089e-21,3.3414e-06,0.047689,1,5.448e-05,0,-0.0022155,0.045
0.058932,9.8464e-21,3.6198e-06,0.051663,1,5.902e-05,0,-0.002211,0.045
0.058932,1.0604e-20,3.8983e-06,0.055637,1,6.356e-05,0,-0.0022064,0.045
0.058932,2.2848e-16,4.1767e-06,0.059611,1,6.81e-05,0,-0.0022019,0.045
0.058932,1.9537e-15,4.4552e-06,0.063585,1,7.264e-05,0,-0.0021974,0.045
0.058932,1.2876e-20,4.7336e-06,0.067559,1,7.718e-05,0,-0.0021928,0.045
0.058932,1.3633e-20,5.0121e-06,0.071533,1,8.172e-05,0,-0.0021883,0.045
0.058932,1.4391e-20,5.2905e-06,0.075507,1,8.626e-05,0,-0.0021837,0.045
0.058932,1.5148e-20,5.569e-06,0.079481,1,9.08e-05,0,-0.0021792,0.045
0.058932,1.5906e-20,5.8474e-06,0.083455,1,9.534e-05,0,-0.0021747,0.045
0.058933,1.6663e-20,6.1258e-06,0.087429,1,9.988e-05,0,-0.0021701,0.045
0.058933,1.7797e-20,6.4043e-06,0.091403,1,0.00010442,0,-0.0021656,0.045
0.058933,1.8571e-20,6.6827e-06,0.095377,1,0.00010896,0,-0.002161,0.045
0.058933,1.9345e-20,6.9612e-06,0.099351,1,0.0001135,0,-0.0021565,0.045
0.058933,2.0544e-20,7.2396e-06,0.10333,1,0.00011804,0,-0.002152,0.045
0.058933,2.1776e-20,7.5181e-06,0.1073,1,0.00012258,0,-0.0021474,0.045
0.058933,2.3041e-20,7.7965e-06,0.11127,1,0.00012712,0,-0.0021429,0.045
0.058933,2.4338e-20,8.075e-06,0.11525,1,0.00013166,0,-0.0021383,0.045
0.058933,2.616e-20,8.3534e-06,0.11922,1,0.0001362,0,-0.0021338,0.045
0.058933,2.7361e-20,8.7856e-06,0.12308,1,0.00014074,0,-0.0021293,0.045
0.058933,2.5755e-20,9.3858e-06,0.12682,1,0.00014528,0,-0.0021247,0.045
0.058933,2.4045e-20,9.986e-06,0.13056,1,0.00014982,0,-0.0021202,0.045
0.058933,2.2821e-20,1.0586e-05,0.1343,1,0.00015436,0,-0.0021156,0.045
0.058933,2.1545e-20,1.1186e-05,0.13804,1,0.0001589,0,-0.0021111,0.045
0.058933,2.0217e-20,1.1787e-05,0.14178,1,0.00016344,0,-0.0021066,0.045
0.058933,1.8837e-20,1.2387e-05,0.14552,1,0.00016798,0,-0.002102,0.045
0.058933,1.8099e-20,1.2987e-05,0.14926,1,0.00017252,0,-0.0020975,0.045
0.058933,1.7361e-20,1.3587e-05,0.153,1,0.00017706,0,-0.0020929,0.045
0.058933,1.5877e-20,1.4187e-05,0.15674,1,0.0001816,0,-0.0020884,0.045
0.058933,1.5113e-20,1.4788e-05,0.16048,1,0.00018614,0,-0.0020839,0.045
0.058933,1.4349e-20,1.5388e-05,0.16422,1,0.00019068,0,-0.0020793,0.045
0.058933,1.3585e-20,1.5988e-05,0.16796,1,0.00019522,0,-0.0020748,0.045
0.058933,1.2821e-20,1.6588e-05,0.1717,1,0.00019976,0,-0.0020702,0.045
0.058933,8.8131e-15,1.7189e-05,0.17544,1,0.0002043,0,-0.0020657,0.045
0.058933,6.9412e-16,1.7789e-05,0.17918,1,0.00020884,0,-0.0020612,0.045
0.058933,1.0528e-20,1.8389e-05,0.18292,1,0.00021338,0,-0.0020566,0.045
0.058933,9.7644e-21,1.8989e-05,0.18666,1,0.00021792,0,-0.0020521,0.045
0.058933,9.0003e-21,1.9589e-05,0.1904,1,0.00022246,0,-0.0020475,0.045
0.058934,8.2363e-21,2.019e-05,0.19414,1,0.000227,0,-0.002043,0.045
0.058934,7.4722e-21,2.079e-05,0.19788,1,0.00023154,0,-0.0020385,0.045
0.058934,6.7082e-21,2.139e-05,0.20162,1,0.00023608,0,-0.0020339,0.045
0.058934,7.0275e-21,2.199e-05,0.20536,1,0.00024062,0,-0.0020294,0.045
0.058934,6.2895e-21,2.259e-05,0.2091,1,0.00024516,0,-0.0020248,0.045
0.058934,6.6867e-21,2.3191e-05,0.21284,1,0.0002497,0,-0.0020203,0.045
0.058934,5.9746e-21,2.3791e-05,0.21658,1,0.00025424,0,-0.0020158,0.045
0.058934,6.4498e-21,2.4391e-05,0.22032,1,0.00025878,0,-0.0020112,0.045
0.058934,8.1901e-21,2.4991e-05,0.22406,1,0.00026332,0,-0.0020067,0.045
0.058934,1.0034e-20,2.5592e-05,0.2278,1,0.00026786,0,-0.0020021,0.045
0.058934,1.1982e-20,2.6192e-05,0.23154,1,0.0002724,0,-0.0019976,0.045
0.058934,1.5326e-20,2.6792e-05,0.23528,1,0.00027694,0,-0.0019931,0.045
0.058934,1.5628e-20,2.774e-05,0.23879,1,0.00028148,0,-0.0019885,0.045
0.058934,1.1871e-20,2.8705e-05,0.24228,1,0.00028602,0,-0.001984,0.045
0.058934,9.2919e-21,2.967e-05,0.24578,1,0.00029056,0,-0.0019794,0.045
0.058934,6.5638e-21,3.0635e-05,0.24928,1,0.0002951,0,-0.0019749,0.045
0.058934,3.6865e-21,3.16e-05,0.25277,1,0.00029964,0,-0.0019704,0.045
0.058934,2.1744e-21,3.2564e-05,0.25627,1,0.00030418,0,-0.0019658,0.045
0.058934,5.8777e-22,3.3529e-05,0.25977,1,0.00030872,0,-0.0019613,0.045
0.058934,5.1557e-22,3.4494e-05,0.26327,1,0.00031326,0,-0.0019567,0.045
0.058934,-1.183e-21,3.5459e-05,0.26676,1,0.0003178,0,-0.0019522,0.045
0.058934,-1.2925e-21,3.6424e-05,0.27026,1,0.00032234,0,-0.0019477,0.045
0.058934,-1.402e-21,3.7388e-05,0.27376,1,0.00032688,0,-0.0019431,0.045
0.058934,-1.5115e-21,3.8353e-05,0.27725,1,0.00033142,0,-0.0019386,0.045
0.058934,-1.621e-21,3.9318e-05,0.28075,1,0.00033596,0,-0.001934,0.045
0.058934,-1.7306e-21,4.0283e-05,0.28425,1,0.0003405,0,-0.0019295,0.045
0.058934,3.4566e-15,4.1248e-05,0.28775,1,0.00034504,0,-0.001925,0.045
0.058934,1.82e-14,4.2212e-05,0.29124,1,0.00034958,0,-0.0019204,0.045
0.058934,-2.0591e-21,4.3177e-05,0.29474,1,0.00035412,0,-0.0019159,0.045
0.058934,-2.1686e-21,4.4142e-05,0.29824,1,0.00035866,0,-0.0019113,0.045
0.058934,-2.2781e-21,4.5107e-05,0.30173,1,0.0003632,0,-0.0019068,0.045
0.058935,-2.3876e-21,4.6071e-05,0.30523,1,0.00036774,0,-0.0019023,0.045
0.058935,-2.4971e-21,4.7036e-05,0.30873,1,0.00037228,0,-0.0018977,0.045
0.058935,-4.9531e-22,4.8001e-05,0.31223,1,0.00037682,0,-0.0018932,0.045
0.058935,-5.6751e-22,4.8966e-05,0.31572,1,0.00038136,0,-0.0018886,0.045
0.058935,1.5462e-21,4.9931e-05,0.31922,1,0.0003859,0,-0.0018841,0.045
0.058935,3.7345e-21,5.0895e-05,0.32272,1,0.00039044,0,-0.0018796,0.045
0.058935,5.9975e-21,5.186e-05,0.32621,1,0.00039498,0,-0.001875,0.045
0.058935,1.0633e-20,5.2825e-05,0.32971,1,0.00039952,0,-0.0018705,0.045
0.058935,1.7753e-20,5.379e-05,0.33321,1,0.00040406,0,-0.0018659,0.045
0.058935,2.5096e-20,5.4755e-05,0.33671,1,0.0004086,0,-0.0018614,0.045
0.058935,3.5073e-20,5.5719e-05,0.3402,1,0.00041314,0,-0.0018569,0.045
0.058935,-1.2473e-13,5.6797e-05,0.3436,1,0.00041768,0,-0.0018523,0.045
0.058935,-2.0332e-14,5.8022e-05,0.34687,1,0.00042222,0,-0.0018478,0.045
0.058935,-2.2124e-15,5.9247e-05,0.35014,1,0.00042676,0,-0.0018432,0.045
0.058935,-1.334e-16,6.0472e-05,0.35341,1,0.0004313,0,-0.0018387,0.045
0.058935,-4.1628e-12,6.1697e-05,0.35668,1,0.00043584,0,-0.0018342,0.045
0.058935,-2.4526e-13,6.2922e-05,0.35995,1,0.00044038,0,-0.0018296,0.045
0.058935,-1.6588e-15,6.4147e-05,0.36322,1,0.00044492,0,-0.0018251,0.045
0.058935,-1.0842e-12,6.5372e-05,0.36649,1,0.00044946,0,-0.0018205,0.045
0.058935,-1.0549e-11,6.6596e-05,0.36976,1,0.000454,0,-0.001816,0.045
0.058935,-1.3109e-13,6.7821e-05,0.37303,1,0.00045854,0,-0.0018115,0.045
0.058935,-6.5565e-12,6.9046e-05,0.3763,1,0.00046308,0,-0.0018069,0.045
0.058935,-1.3578e-14,7.0271e-05,0.37957,1,0.00046762,0,-0.0018024,0.045
0.058935,-1.3952e-12,7.1496e-05,0.38284,1,0.00047216,0,-0.0017978,0.045
0.058935,-2.4037e-14,7.2721e-05,0.38611,1,0.0004767,0,-0.0017933,0.045
0.058935,-2.6989e-14,7.3946e-05,0.38938,1,0.00048124,0,-0.0017888,0.045
0.058935,-4.2979e-12,7.5171e-05,0.39265,1,0.00048578,0,-0.0017842,0.045
0.058935,-3.1133e-12,7.6396e-05,0.39592,1,0.00049032,0,-0.0017797,0.045
0.058935,-1.5147e-15,7.7621e-05,0.39919,1,0.00049486,0,-0.0017751,0.045
0.058935,-3.1543e-13,7.8846e-05,0.40246,1,0.0004994,0,-0.0017706,0.045
0.058935,-2.1597e-15,8.0071e-05,0.40573,1,0.00050394,0,-0.0017661,0.045
0.058935,-2.064e-12,8.1296e-05,0.40899,1,0.00050848,0,-0.0017615,0.045
0.058935,-1.9433e-14,8.2521e-05,0.41226,1,0.00051302,0,-0.001757,0.045
0.058935,-3.1362e-14,8.3746e-05,0.41553,1,0.00051756,0,-0.0017524,0.045
0.058935,-5.8093e-13,8.4971e-05,0.4188,1,0.0005221,0,-0.0017479,0.045
0.058935,-1.4348e-14,8.6196e-05,0.42207,1,0.00052664,0,-0.0017434,0.045
0.058935,-7.4786e-13,8.7421e-05,0.42534,1,0.00053118,0,-0.0017388,0.045
0.058935,-8.7684e-12,8.8646e-05,0.42861,1,0.00053572,0,-0.0017343,0.045
0.058935,-3.8056e-16,8.9871e-05,0.43188,1,0.00054026,0,-0.0017297,0.045
0.058935,-5.0086e-15,9.1096e-05,0.43515,1,0.0005448,0,-0.0017252,0.045
0.058935,-3.942e-14,9.2321e-05,0.43842,1,0.00054934,0,-0.0017207,0.045
0.058935,2.2537e-08,9.3548e-05,0.44169,1,0.00055388,0,-0.0017161,0.045
0.058935,6.007e-20,9.4913e-05,0.44477,1,0.00055842,0,-0.0017116,0.045
0.058935,2.8772e-20,9.6294e-05,0.44784,1,0.00056296,0,-0.001707,0.045
0.058935,2.9921e-21,9.7675e-05,0.4509,1,0.0005675,0,-0.0017025,0.045
0.058935,-1.788e-20,9.9056e-05,0.45397,1,0.00057204,0,-0.001698,0.045
0.058935,-3.4445e-20,0.00010044,0.45703,1,0.00057658,0,-0.0016934,0.045
0.058935,-4.7292e-20,0.00010182,0.46009,1,0.00058112,0,-0.0016889,0.045
0.058935,-5.6989e-20,0.0001032,0.46316,1,0.00058566,0,-0.0016843,0.045
0.058935,-6.4082e-20,0.00010458,0.46622,1,0.0005902,0,-0.0016798,0.045
0.058935,-6.908e-20,0.00010596,0.46929,1,0.00059474,0,-0.0016753,0.045
0.058935,-7.2458e-20,0.00010734,0.47235,1,0.00059928,0,-0.0016707,0.045
0.058936,-7.4642e-20,0.00010872,0.47541,1,0.00060382,0,-0.0016662,0.045
0.058936,-7.6006e-20,0.00011011,0.47848,1,0.00060836,0,-0.0016616,0.045
0.058936,-7.6861e-20,0.00011149,0.48154,1,0.0006129,0,-0.0016571,0.045
0.058936,-7.7452e-20,0.00011287,0.48461,1,0.00061744,0,-0.0016526,0.045
0.058936,1.7592e-14,0.00011425,0.48767,1,0.00062198,0,-0.001648,0.045
0.058936,6.1233e-14,0.00011563,0.49073,1,0.00062652,0,-0.0016435,0.045
0.058936,-7.885e-20,0.00011701,0.4938,1,0.00063106,0,-0.0016389,0.045
0.058936,-7.9128e-20,0.00011839,0.49686,1,0.0006356,0,-0.0016344,0.045
0.058936,-7.9014e-20,0.00011977,0.49993,1,0.00064014,0,-0.0016299,0.045
0.058936,-7.8147e-20,0.00012115,0.50299,1,0.00064468,0,-0.0016253,0.045
0.058936,-7.6029e-20,0.00012254,0.50605,1,0.00064922,0,-0.0016208,0.045
0.058936,-7.2019e-20,0.00012392,0.50912,1,0.00065376,0,-0.0016162,0.045
0.058936,-6.5315e-20,0.0001253,0.51218,1,0.0006583,0,-0.0016117,0.045
0.058936,-5.4944e-20,0.00012668,0.51525,1,0.00066284,0,-0.0016072,0.045
0.058936,-3.9752e-20,0.00012806,0.51831,1,0.00066738,0,-0.0016026,0.045
0.058936,-1.839e-20,0.00012944,0.52137,1,0.00067192,0,-0.0015981,0.045
0.058936,1.0704e-20,0.00013082,0.52444,1,0.00067646,0,-0.0015935,0.045
0.058936,4.9312e-20,0.0001322,0.5275,1,0.000681,0,-0.001589,0.045
0.058936,9.9453e-20,0.00013358,0.53057,1,0.00068554,0,-0.0015845,0.045
0.058936,1.634e-19,0.00013497,0.53363,1,0.00069008,0,-0.0015799,0.045
0.058936,2.8908e-19,0.00013637,0.53663,1,0.00069462,0,-0.0015754,0.045
0.058936,2.094e-19,0.0001378,0.53952,1,0.00069916,0,-0.0015708,0.045
0.058936,1.4465e-19,0.00013923,0.54241,1,0.0007037,0,-0.0015663,0.045
0.058936,9.3164e-20,0.00014066,0.5453,1,0.00070824,0,-0.0015618,0.045
0.058936,5.3352e-20,0.0001421,0.54819,1,0.00071278,0,-0.0015572,0.045
0.058936,2.3651e-20,0.00014353,0.55108,1,0.00071732,0,-0.0015527,0.045
0.058936,2.559e-21,0.00014496,0.55398,1,0.00072186,0,-0.0015481,0.045
0.058936,-1.1354e-20,0.00014639,0.55687,1,0.0007264,0,-0.0015436,0.045
0.058936,-1.9431e-20,0.00014782,0.55976,1,0.00073094,0,-0.0015391,0.045
0.058936,-2.2917e-20,0.00014926,0.56265,1,0.00073548,0,-0.0015345,0.045
0.058936,-2.294e-20,0.00015069,0.56554,1,0.00074002,0,-0.00153,0.045
0.058936,-2.05e-20,0.00015212,0.56843,1,0.00074456,0,-0.0015254,0.045
0.058936,-1.6447e-20,0.00015355,0.57133,1,0.0007491,0,-0.0015209,0.045
0.058936,-1.147e-20,0.00015499,0.57422,1,0.00075364,0,-0.0015164,0.045
0.058936,-6.0734e-21,0.00015642,0.57711,1,0.00075818,0,-0.0015118,0.045
0.058936,4.0461e-15,0.00015785,0.58,1,0.00076272,0,-0.0015073,0.045
0.058936,4.9792e-21,0.00015928,0.58289,1,0.00076726,0,-0.0015027,0.045
0.058936,1.0707e-20,0.00016071,0.58578,1,0.0007718,0,-0.0014982,0.045
0.058936,1.7037e-20,0.00016215,0.58867,1,0.00077634,0,-0.0014937,0.045
0.058936,2.4673e-20,0.00016358,0.59157,1,0.00078088,0,-0.0014891,0.045
0.058936,3.4621e-20,0.00016501,0.59446,1,0.00078542,0,-0.0014846,0.045
0.058936,4.8221e-20,0.00016644,0.59735,1,0.00078996,0,-0.00148,0.045
0.058936,6.7167e-20,0.00016788,0.60024,1,0.0007945,0,-0.0014755,0.045
0.058936,9.3537e-20,0.00016931,0.60313,1,0.00079904,0,-0.001471,0.045
0.058936,1.2981e-19,0.00017074,0.60602,1,0.00080358,0,-0.0014664,0.045
0.058936,1.7892e-19,0.00017217,0.60891,1,0.00080812,0,-0.0014619,0.045
0.058936,2.4426e-19,0.0001736,0.61181,1,0.00081266,0,-0.0014573,0.045
0.058936,3.297e-19,0.00017504,0.6147,1,0.0008172,0,-0.0014528,0.045
