"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.059075,3.3293e-28,-2.2559e-20,-3.232e-16,1,0,0,-0.00227,0.045
0.059075,-4.0936e-15,2.7739e-07,0.003974,1,4.54e-06,0,-0.0022655,0.045
0.059075,-8.1872e-15,5.5477e-07,0.0079481,1,9.0799e-06,0,-0.0022609,0.045
0.059075,-1.2281e-14,8.3216e-07,0.011922,1,1.362e-05,0,-0.0022564,0.045
0.059075,-1.6375e-14,1.1096e-06,0.015896,1,1.816e-05,0,-0.0022518,0.045
0.059075,-2.0468e-14,1.3869e-06,0.01987,1,2.27e-05,0,-0.0022473,0.045
0.059075,-2.4562e-14,1.6643e-06,0.023844,1,2.724e-05,0,-0.0022428,0.045
0.059075,-2.8655e-14,1.9417e-06,0.027819,1,3.178e-05,0,-0.0022382,0.045
0.059075,-3.2749e-14,2.2191e-06,0.031793,1,3.632e-05,0,-0.0022337,0.045
0.059075,-3.6843e-14,2.4965e-06,0.035767,1,4.086e-05,0,-0.0022291,0.045
0.059075,-4.0936e-14,2.7739e-06,0.039741,1,4.54e-05,0,-0.0022246,0.045
0.059075,-4.503e-14,3.0513e-06,0.043715,1,4.994e-05,0,-0.0022201,0.045
0.059075,-4.9124e-14,3.3287e-06,0.047689,1,5.448e-05,0,-0.0022155,0.045
0.059075,-5.3217e-14,3.606e-06,0.051663,1,5.902e-05,0,-0.002211,0.045
0.059075,-5.7311e-14,3.8834e-06,0.055637,1,6.356e-05,0,-0.0022064,0.045
0.059075,-6.1176e-14,4.1608e-06,0.059611,1,6.81e-05,0,-0.0022019,0.045
0.059075,-6.3548e-14,4.4382e-06,0.063585,1,7.264e-05,0,-0.0021974,0.045
0.059075,-6.9592e-14,4.7156e-06,0.067559,1,7.718e-05,0,-0.0021928,0.045
0.059075,-7.3686e-14,4.993e-06,0.071533,1,8.172e-05,0,-0.0021883,0.045
0.059075,-7.7779e-14,5.2704e-06,0.075507,1,8.626e-05,0,-0.0021837,0.045
0.059075,-8.1873e-14,5.5478e-06,0.079482,1,9.08e-05,0,-0.0021792,0.045
0.059075,-8.5966e-14,5.8251e-06,0.083456,1,9.534e-05,0,-0.0021747,0.045
0.059075,-9.006e-14,6.1025e-06,0.08743,1,9.988e-05,0,-0.0021701,0.045
0.059075,-9.4154e-14,6.3799e-06,0.091404,1,0.00010442,0,-0.0021656,0.045
0.059076,-9.8247e-14,6.6573e-06,0.095378,1,0.00010896,0,-0.002161,0.045
0.059076,-1.0234e-13,6.9347e-06,0.099352,1,0.0001135,0,-0.0021565,0.045
0.059076,-1.0643e-13,7.2121e-06,0.10333,1,0.00011804,0,-0.002152,0.045
0.059076,-1.1053e-13,7.4895e-06,0.1073,1,0.00012258,0,-0.0021474,0.045
0.059076,-1.1462e-13,7.7669e-06,0.11127,1,0.00012712,0,-0.0021429,0.045
0.059076,-1.1872e-13,8.0442e-06,0.11525,1,0.00013166,0,-0.0021383,0.045
0.059076,-1.2281e-13,8.3216e-06,0.11922,1,0.0001362,0,-0.0021338,0.045
0.059076,-1.4257e-13,8.7527e-06,0.12308,1,0.00014074,0,-0.0021293,0.045
0.059076,-1.7946e-13,9.3519e-06,0.12682,1,0.00014528,0,-0.0021247,0.045
0.059076,-2.1634e-13,9.9511e-06,0.13056,1,0.00014982,0,-0.0021202,0.045
0.059076,-2.5323e-13,1.055e-05,0.1343,1,0.00015436,0,-0.0021156,0.045
0.059076,-2.9012e-13,1.115e-05,0.13804,1,0.0001589,0,-0.0021111,0.045
0.059076,-3.2701e-13,1.1749e-05,0.14178,1,0.00016344,0,-0.0021066,0.045
0.059076,-3.639e-13,1.2348e-05,0.14552,1,0.00016798,0,-0.002102,0.045
0.059076,-4.0079e-13,1.2947e-05,0.14926,1,0.00017252,0,-0.0020975,0.045
0.059076,-4.3768e-13,1.3546e-05,0.153,1,0.00017706,0,-0.0020929,0.045
0.059076,-4.7457e-13,1.4146e-05,0.15674,1,0.0001816,0,-0.0020884,0.045
0.059076,-5.1145e-13,1.4745e-05,0.16048,1,0.00018614,0,-0.0020839,0.045
0.059076,-5.4834e-13,1.5344e-05,0.16422,1,0.00019068,0,-0.0020793,0.045
0.059076,-5.8523e-13,1.5943e-05,0.16796,1,0.00019522,0,-0.0020748,0.045
0.059076,-6.2212e-13,1.6542e-05,0.1717,1,0.00019976,0,-0.0020702,0.045
0.059076,-6.5021e-13,1.7142e-05,0.17544,1,0.0002043,0,-0.0020657,0.045
0.059076,-6.952e-13,1.7741e-05,0.17918,1,0.00020884,0,-0.0020612,0.045
0.059076,-7.3279e-13,1.834e-05,0.18292,1,0.00021338,0,-0.0020566,0.045
0.059076,-7.6968e-13,1.8939e-05,0.18666,1,0.00021792,0,-0.0020521,0.045
0.059076,-8.0656e-13,1.9538e-05,0.1904,1,0.00022246,0,-0.0020475,0.045
0.059076,-8.4345e-13,2.0137e-05,0.19414,1,0.000227,0,-0.002043,0.045
0.059076,-8.8034e-13,2.0737e-05,0.19788,1,0.00023154,0,-0.0020385,0.045
0.059077,-9.1723e-13,2.1336e-05,0.20162,1,0.00023608,0,-0.0020339,0.045
0.059077,-9.5412e-13,2.1935e-05,0.20536,1,0.00024062,0,-0.0020294,0.045
0.059077,-9.9101e-13,2.2534e-05,0.2091,1,0.00024516,0,-0.0020248,0.045
0.059077,-1.0279e-12,2.3133e-05,0.21284,1,0.0002497,0,-0.0020203,0.045
0.059077,-1.0648e-12,2.3733e-05,0.21658,1,0.00025424,0,-0.0020158,0.045
0.059077,-1.1017e-12,2.4332e-05,0.22032,1,0.00025878,0,-0.0020112,0.045
0.059077,-1.1386e-12,2.4931e-05,0.22406,1,0.00026332,0,-0.0020067,0.045
0.059077,-1.1755e-12,2.553e-05,0.2278,1,0.00026786,0,-0.0020021,0.045
0.059077,-1.2123e-12,2.6129e-05,0.23154,1,0.0002724,0,-0.0019976,0.045
0.059077,-1.2492e-12,2.6729e-05,0.23528,1,0.00027694,0,-0.0019931,0.045
0.059077,-1.2508e-12,2.7677e-05,0.23879,1,0.00028148,0,-0.0019885,0.045
