"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.66786,0,0,0,1,0,0,-0.0022614,0.043
0.66787,0,3.8962e-05,0.23679,1,0.00028267,0,-0.0019787,0.043
0.66787,0,0.00011716,0.44532,1,0.00056534,0,-0.001696,0.043
0.66787,0,0.0002202,0.63094,1,0.00084801,0,-0.0014134,0.043
0.66787,1.1146e-12,0.00030239,0.78749,1,0.0011307,0,-0.0011307,0.043
0.66787,6.7626e-13,0.00032331,0.90275,1,0.0014134,0,-0.00084801,0.043
0.66787,0,0.00027082,0.97987,1,0.001696,0,-0.00056534,0.043
0.66787,0,0.00015414,1.0241,1,0.0019787,0,-0.00028267,0.043
0.66787,0,0,1.0386,1,0.0022614,0,0,0.043
0.66787,0,-0.00015414,1.0241,1,0.002544,0,0.00028267,0.043
0.66787,0,-0.00027082,0.97987,1,0.0028267,0,0.00056534,0.043
0.66787,6.7626e-13,-0.00032331,0.90275,1,0.0031094,0,0.00084801,0.043
0.66787,1.1146e-12,-0.00030239,0.78749,1,0.003392,0,0.0011307,0.043
0.66787,0,-0.0002202,0.63094,1,0.0036747,0,0.0014134,0.043
0.66787,0,-0.00011716,0.44532,1,0.0039574,0,0.001696,0.043
0.66787,2.0915e-29,-3.8962e-05,0.23679,1,0.0042401,0,0.0019787,0.043
0.66786,0,0,0,1,0.0045227,0,0.0022614,0.043
