"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.66683,0,0,0,1,0,0,-0.0022669,0.043
0.66683,-1.0897e-11,1.3365e-05,0.14108,1,0.00016192,0,-0.002105,0.043
0.66683,-1.7561e-11,4.2751e-05,0.27241,1,0.00032384,0,-0.001943,0.043
0.66683,-2.1473e-11,8.7736e-05,0.39397,1,0.00048576,0,-0.0017811,0.043
0.66683,-2.1229e-11,0.00014273,0.5066,1,0.00064768,0,-0.0016192,0.043
0.66683,-2.564e-11,0.00020215,0.6116,1,0.0008096,0,-0.0014573,0.043
0.66683,-1.6818e-11,0.00026163,0.7143,1,0.00097152,0,-0.0012954,0.043
0.66683,5.5576e-12,0.00030462,0.80044,1,0.0011334,0,-0.0011334,0.043
0.66683,9.0562e-12,0.00032729,0.87261,1,0.0012954,0,-0.00097152,0.043
0.66683,-1.3116e-12,0.00032511,0.93044,1,0.0014573,0,-0.0008096,0.043
0.66684,4.6127e-12,0.00029775,0.97587,1,0.0016192,0,-0.00064768,0.043
0.66684,6.912e-12,0.00024693,1.0101,1,0.0017811,0,-0.00048576,0.043
0.66684,2.143e-12,0.00017646,1.034,1,0.001943,0,-0.00032384,0.043
0.66684,-1.0993e-12,9.1897e-05,1.0482,1,0.002105,0,-0.00016192,0.043
0.66684,-1.819e-12,9.0949e-12,1.0528,1,0.0022669,0,0,0.043
0.66684,3.4e-13,-9.1897e-05,1.0482,1,0.0024288,0,0.00016192,0.043
0.66684,5.781e-12,-0.00017646,1.034,1,0.0025907,0,0.00032384,0.043
0.66684,1.0914e-11,-0.00024693,1.0101,1,0.0027527,0,0.00048576,0.043
0.66684,1.1125e-11,-0.00029775,0.97587,1,0.0029146,0,0.00064768,0.043
0.66683,1.2648e-11,-0.00032511,0.93044,1,0.0030765,0,0.0008096,0.043
0.66683,1.092e-11,-0.00032729,0.87261,1,0.0032384,0,0.00097152,0.043
0.66683,1.1862e-12,-0.00030462,0.80044,1,0.0034003,0,0.0011334,0.043
0.66683,-1.7802e-11,-0.00026163,0.7143,1,0.0035623,0,0.0012954,0.043
0.66683,-2.7258e-11,-0.00020215,0.6116,1,0.0037242,0,0.0014573,0.043
0.66683,-2.1539e-11,-0.00014273,0.5066,1,0.0038861,0,0.0016192,0.043
0.66683,-2.114e-11,-8.7736e-05,0.39397,1,0.004048,0,0.0017811,0.043
0.66683,-1.658e-11,-4.2751e-05,0.27241,1,0.0042099,0,0.001943,0.043
0.66683,-9.7597e-12,-1.3365e-05,0.14108,1,0.0043719,0,0.002105,0.043
0.66683,0,0,0,1,0.0045338,0,0.0022669,0.043
