y,U_0,U_1,U_2
-0.00220071,-3.17531e-13,7.0113e-08,0.0600829
-0.00206214,-1.23646e-12,2.91611e-07,0.176812
-0.00192357,-3.23819e-12,6.86984e-07,0.286559
-0.001785,-6.94525e-12,1.24138e-06,0.389464
-0.00167805,-1.0713e-11,1.74221e-06,0.464745
-0.00160877,-1.34006e-11,2.09252e-06,0.511612
-0.00150786,-1.71275e-11,2.61586e-06,0.577456
-0.00136929,-2.16154e-11,3.36624e-06,0.669584
-0.00119908,-2.38065e-11,4.09797e-06,0.768602
-0.00103268,-2.23762e-11,4.52351e-06,0.847855
-0.000927762,-1.97593e-11,4.65285e-06,0.892568
-0.000834749,-1.6577e-11,4.61486e-06,0.926591
-0.000726588,-1.21387e-11,4.44007e-06,0.961348
-0.000561392,-5.51872e-12,3.85789e-06,1.00376
-0.000338493,1.80423e-12,2.60043e-06,1.0436
-0.000215082,4.84518e-12,1.74655e-06,1.05905
-0.000101974,5.84689e-12,8.28067e-07,1.06405
0.000113108,5.74829e-12,-9.18479e-07,1.06356
0.000338493,1.74151e-12,-2.60043e-06,1.0436
0.000561392,-5.76925e-12,-3.85788e-06,1.00376
0.000780177,-1.48383e-11,-4.52666e-06,0.944127
0.000993253,-2.21437e-11,-4.57211e-06,0.864657
0.00119908,-2.49345e-11,-4.09797e-06,0.768602
0.00136929,-2.29931e-11,-3.36624e-06,0.669584
0.00150786,-1.80654e-11,-2.61586e-06,0.577456
0.00164643,-1.22524e-11,-1.9021e-06,0.486136
0.001785,-6.98904e-12,-1.24138e-06,0.389464
0.00192357,-3.01329e-12,-6.86984e-07,0.286559
0.00206214,-7.97726e-13,-2.91611e-07,0.176812
