y,U_0,U_1,U_2
-0.00214072,1.31631e-13,9.22898e-06,0.109745
-0.00189942,2.3422e-13,5.07722e-05,0.305555
-0.00165813,2.83341e-13,0.000129586,0.479283
-0.00141684,3.13773e-13,0.000224307,0.634463
-0.00116113,3.41639e-13,0.000315594,0.786881
-0.000884355,4.16291e-13,0.000351408,0.905649
-0.000596066,4.01616e-13,0.000307281,0.989042
-0.000299995,3.73562e-13,0.000180521,1.03844
0,3.63798e-13,-1.30242e-13,1.05482
0.000299995,3.80578e-13,-0.000180521,1.03844
0.000596066,4.20656e-13,-0.000307281,0.989042
0.000884355,3.99168e-13,-0.000351408,0.905649
0.00116113,3.77328e-13,-0.000315594,0.786881
0.00141684,3.72243e-13,-0.000224307,0.634463
0.00165813,3.06387e-13,-0.000129586,0.479283
0.00189942,2.31658e-13,-5.07722e-05,0.305555
0.00214072,1.11678e-13,-9.22898e-06,0.109745
