y,U_0,U_1,U_2
-0.00227,-3.04332e-07,1.60364e-06,0.0620835
-0.00213143,-1.21338e-06,9.28986e-06,0.17966
-0.00199286,-2.6832e-06,2.51421e-05,0.289743
-0.00189427,2.68339e-06,2.51421e-05,0.289743
-0.00185429,4.61432e-06,4.72515e-05,0.392734
-0.00171571,6.89567e-06,7.34696e-05,0.489185
-0.00157714,9.42393e-06,0.000101826,0.579908
-0.00143857,1.20606e-05,0.000130127,0.666141
-0.0013,1.54872e-05,0.000162662,0.770447
-0.00109817,2.02263e-05,0.000183705,0.868107
-0.000897214,-2.02263e-05,0.000183705,0.868107
-0.000888338,-2.55978e-05,0.000182754,0.945477
-0.000876777,2.55979e-05,0.000182754,0.945477
-0.000672015,3.08335e-05,0.000156376,1.00314
-0.00045077,3.50377e-05,0.000105702,1.04143
-0.000226216,3.73888e-05,3.73887e-05,1.06052
-1.04985e-35,3.73888e-05,-3.73887e-05,1.06052
0.000226216,3.50377e-05,-0.000105702,1.04143
0.000264377,-3.50376e-05,-0.000105702,1.04143
0.00045077,-3.08334e-05,-0.000156376,1.00314
0.000672015,-2.55978e-05,-0.000182754,0.945477
0.000777573,2.55979e-05,-0.000182754,0.945477
0.000888338,2.02263e-05,-0.000183705,0.868107
0.00097359,-2.02263e-05,-0.000183705,0.868107
0.00109817,-1.54871e-05,-0.000162662,0.770447
0.0013,-1.20606e-05,-0.000130127,0.666141
0.00143857,-9.42384e-06,-0.000101826,0.579908
0.00157714,-6.89558e-06,-7.34696e-05,0.489185
0.00171571,-4.61423e-06,-4.72516e-05,0.392734
0.00185429,-2.6833e-06,-2.51421e-05,0.289743
0.00199286,-1.21347e-06,-9.28986e-06,0.17966
0.00213143,-3.04372e-07,-1.60363e-06,0.0620835
