y,U_0,U_1,U_2
-0.00227,-3.04205e-07,1.60355e-06,0.0620835
-0.00213143,-1.213e-06,9.28973e-06,0.17966
-0.00199286,-2.68259e-06,2.51422e-05,0.289743
-0.00189427,2.68286e-06,2.51422e-05,0.289743
-0.00185429,4.61367e-06,4.72519e-05,0.392734
-0.00171571,6.89497e-06,7.34703e-05,0.489185
-0.00157714,9.42326e-06,0.000101827,0.579908
-0.00143857,1.20601e-05,0.000130128,0.666141
-0.0013,1.54867e-05,0.000162663,0.770447
-0.00109817,2.0226e-05,0.000183706,0.868107
-0.000897214,-2.02254e-05,0.000183705,0.868107
-0.000888338,-2.55974e-05,0.000182754,0.945477
-0.000876777,2.55975e-05,0.000182754,0.945477
-0.000672015,3.08335e-05,0.000156376,1.00314
-0.00045077,3.50375e-05,0.000105702,1.04143
-0.000226216,3.73887e-05,3.73888e-05,1.06052
-1.04985e-35,3.73888e-05,-3.73884e-05,1.06052
0.000226216,3.50377e-05,-0.000105702,1.04143
0.000264377,-3.50371e-05,-0.000105702,1.04143
0.00045077,-3.08329e-05,-0.000156376,1.00314
0.000672015,-2.55971e-05,-0.000182754,0.945477
0.000777573,2.55978e-05,-0.000182754,0.945477
0.000888338,2.0226e-05,-0.000183705,0.868107
0.00097359,-2.02255e-05,-0.000183705,0.868107
0.00109817,-1.54862e-05,-0.000162662,0.770447
0.0013,-1.20597e-05,-0.000130128,0.666141
0.00143857,-9.42295e-06,-0.000101827,0.579908
0.00157714,-6.8947e-06,-7.34702e-05,0.489185
0.00171571,-4.61343e-06,-4.72517e-05,0.392734
0.00185429,-2.68264e-06,-2.5142e-05,0.289743
0.00199286,-1.21301e-06,-9.28962e-06,0.17966
0.00213143,-3.04166e-07,-1.60351e-06,0.0620835
